name,slug,value,date_of_information,ranking,region
"China","china","$24,861,000,000,000","2021 est.","1","East and Southeast Asia"
"United States","united-states","$21,132,000,000,000","2021 est.","2","North America"
"India","india","$9,279,000,000,000","2021 est.","3","South Asia"
"Japan","japan","$5,126,000,000,000","2021 est.","4","East and Southeast Asia"
"Germany","germany","$4,424,000,000,000","2021 est.","5","Europe"
"Russia","russia","$4,078,000,000,000","2021 est.","6","Central Asia"
"Indonesia","indonesia","$3,246,000,000,000","2021 est.","7","East and Southeast Asia"
"Brazil","brazil","$3,128,000,000,000","2021 est.","8","South America"
"France","france","$3,048,000,000,000","2021 est.","9","Europe"
"United Kingdom","united-kingdom","$3,028,000,000,000","2021 est.","10","Europe"
"Turkey (Turkiye)","turkey-turkiye","$2,668,000,000,000","2021 est.","11","Middle East"
"Italy","italy","$2,478,000,000,000","2021 est.","12","Europe"
"Mexico","mexico","$2,418,000,000,000","2021 est.","13","North America"
"Korea, South","korea-south","$2,289,000,000,000","2021 est.","14","East and Southeast Asia"
"Canada","canada","$1,832,000,000,000","2021 est.","15","North America"
"Spain","spain","$1,798,000,000,000","2021 est.","16","Europe"
"Saudi Arabia","saudi-arabia","$1,594,000,000,000","2021 est.","17","Middle East"
"Iran","iran","$1,319,000,000,000","2021 est.","18","Middle East"
"Poland","poland","$1,318,000,000,000","2021 est.","19","Europe"
"Australia","australia","$1,279,000,000,000","2021 est.","20","Australia and Oceania"
"Egypt","egypt","$1,264,000,000,000","2021 est.","21","Africa"
"Thailand","thailand","$1,223,000,000,000","2021 est.","22","East and Southeast Asia"
"Pakistan","pakistan","$1,211,000,000,000","2021 est.","23","South Asia"
"Taiwan","taiwan","$1,143,277,000,000","2019 est.","24","East and Southeast Asia"
"Nigeria","nigeria","$1,050,000,000,000","2021 est.","25","Africa"
"Vietnam","vietnam","$1,036,000,000,000","2021 est.","26","East and Southeast Asia"
"Bangladesh","bangladesh","$1,001,000,000,000","2021 est.","27","South Asia"
"Netherlands","netherlands","$992,675,000,000","2021 est.","28","Europe"
"Argentina","argentina","$986,134,000,000","2021 est.","29","South America"
"Philippines","philippines","$921,826,000,000","2021 est.","30","East and Southeast Asia"
"Malaysia","malaysia","$884,106,000,000","2021 est.","31","East and Southeast Asia"
"South Africa","south-africa","$790,625,000,000","2021 est.","32","Africa"
"Colombia","colombia","$754,645,000,000","2021 est.","33","South America"
"United Arab Emirates","united-arab-emirates","$653,067,000,000","2021 est.","34","Middle East"
"Switzerland","switzerland","$618,228,000,000","2021 est.","35","Europe"
"Belgium","belgium","$599,814,000,000","2021 est.","36","Europe"
"Romania","romania","$588,451,000,000","2021 est.","37","Europe"
"Singapore","singapore","$578,254,000,000","2021 est.","38","East and Southeast Asia"
"Sweden","sweden","$558,427,000,000","2021 est.","39","Europe"
"Ukraine","ukraine","$535,579,000,000","2021 est.","40","Europe"
"Ireland","ireland","$515,880,000,000","2021 est.","41","Europe"
"Kazakhstan","kazakhstan","$496,126,000,000","2021 est.","42","Central Asia"
"Chile","chile","$496,085,000,000","2021 est.","43","South America"
"Algeria","algeria","$487,716,000,000","2021 est.","44","Africa"
"Austria","austria","$484,698,000,000","2021 est.","45","Europe"
"Hong Kong","hong-kong","$444,624,000,000","2021 est.","46","East and Southeast Asia"
"Czechia","czechia","$428,016,000,000","2021 est.","47","Europe"
"Peru","peru","$421,937,000,000","2021 est.","48","South America"
"Israel","israel","$393,861,000,000","2021 est.","49","Middle East"
"Iraq","iraq","$390,165,000,000","2021 est.","50","Middle East"
"Norway","norway","$355,122,000,000","2021 est.","51","Europe"
"Portugal","portugal","$347,694,000,000","2021 est.","52","Europe"
