name,slug,value,date_of_information,ranking,region
"Cocos (Keeling) Islands","cocos-keeling-islands","0.10","2011","1","Australia and Oceania"
"Qatar","qatar","0.26","2021 est.","2","Middle East"
"Cambodia","cambodia","0.61","2021 est.","3","East and Southeast Asia"
"Niger","niger","0.75","2021 est.","4","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1.00","2016 est.","5","South America"
"Gibraltar","gibraltar","1.00","2016 est.","6","Europe"
"Solomon Islands","solomon-islands","1.03","2021 est.","7","Australia and Oceania"
"Isle of Man","isle-of-man","1.10","2017 est.","8","Europe"
"Laos","laos","1.26","2021 est.","9","East and Southeast Asia"
"Thailand","thailand","1.42","2021 est.","10","East and Southeast Asia"
"Benin","benin","1.57","2021 est.","11","Africa"
"Rwanda","rwanda","1.61","2021 est.","12","Africa"
"Palau","palau","1.70","2015 est.","13","Australia and Oceania"
"Burundi","burundi","1.79","2021 est.","14","Africa"
"Bahrain","bahrain","1.87","2021 est.","15","Middle East"
"Chad","chad","1.88","2021 est.","16","Africa"
"Monaco","monaco","2.00","2012","17","Europe"
"Tokelau","tokelau","2.00","2015 est.","18","Australia and Oceania"
"Burma","burma","2.17","2021 est.","19","East and Southeast Asia"
"Vietnam","vietnam","2.17","2021 est.","20","East and Southeast Asia"
"Vanuatu","vanuatu","2.18","2021 est.","21","Australia and Oceania"
"Faroe Islands","faroe-islands","2.20","2017 est.","22","Europe"
"Liechtenstein","liechtenstein","2.40","2015","23","Europe"
"Philippines","philippines","2.41","2021 est.","24","East and Southeast Asia"
"Korea, North","korea-north","2.59","2021 est.","25","East and Southeast Asia"
"Madagascar","madagascar","2.59","2021 est.","26","Africa"
"Tanzania","tanzania","2.65","2021 est.","27","Africa"
"Papua New Guinea","papua-new-guinea","2.75","2021 est.","28","East and Southeast Asia"
"Cuba","cuba","2.76","2021 est.","29","Central America and the Caribbean"
"Japan","japan","2.80","2021 est.","30","East and Southeast Asia"
"Czechia","czechia","2.89","2021 est.","31","Europe"
"British Virgin Islands","british-virgin-islands","2.90","2015 est.","32","Central America and the Caribbean"
"Uganda","uganda","2.94","2021 est.","33","Africa"
"Seychelles","seychelles","3.00","2017 est.","34","Africa"
"Macau","macau","3.01","2021 est.","35","East and Southeast Asia"
"Oman","oman","3.12","2021 est.","36","Middle East"
"United Arab Emirates","united-arab-emirates","3.36","2021 est.","37","Middle East"
"Poland","poland","3.37","2021 est.","38","Europe"
"Cote d'Ivoire","cote-divoire","3.47","2021 est.","39","Africa"
"Malta","malta","3.50","2021 est.","40","Europe"
"Korea, South","korea-south","3.53","2021 est.","41","East and Southeast Asia"
"Germany","germany","3.54","2021 est.","42","Europe"
"Guatemala","guatemala","3.57","2021 est.","43","Central America and the Caribbean"
"Singapore","singapore","3.62","2021 est.","44","East and Southeast Asia"
"Ethiopia","ethiopia","3.69","2021 est.","45","Africa"
"Andorra","andorra","3.70","2016 est.","46","Europe"
"Kuwait","kuwait","3.71","2021 est.","47","Middle East"
"Senegal","senegal","3.72","2021 est.","48","Africa"
"Taiwan","taiwan","3.73","2019 est.","49","East and Southeast Asia"
"Cameroon","cameroon","3.87","2021 est.","50","Africa"
"Moldova","moldova","3.96","2021 est.","51","Europe"
"Tonga","tonga","3.97","2021 est.","52","Australia and Oceania"
"Mozambique","mozambique","3.98","2021 est.","53","Africa"
"Cayman Islands","cayman-islands","4.00","2008","54","Central America and the Caribbean"
"Togo","togo","4.00","2021 est.","55","Africa"
"Netherlands","netherlands","4.01","2021 est.","56","Europe"
"Liberia","liberia","4.09","2021 est.","57","Africa"
"Hungary","hungary","4.12","2021 est.","58","Europe"
"New Zealand","new-zealand","4.12","2021 est.","59","Australia and Oceania"
"Bhutan","bhutan","4.33","2021 est.","60","South Asia"
"Pakistan","pakistan","4.35","2021 est.","61","South Asia"
"Mexico","mexico","4.38","2021 est.","62","North America"
"Indonesia","indonesia","4.41","2021 est.","63","East and Southeast Asia"
"Slovenia","slovenia","4.42","2021 est.","64","Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","4.50","1997","65","Central America and the Caribbean"
"United Kingdom","united-kingdom","4.53","2021 est.","66","Europe"
"Malaysia","malaysia","4.61","2021 est.","67","East and Southeast Asia"
"Ghana","ghana","4.70","2021 est.","68","Africa"
