name,slug,value,date_of_information,ranking,region
"South Africa","south-africa","63.0","2014 est.","1","Africa"
"Namibia","namibia","59.1","2015 est.","2","Africa"
"Zambia","zambia","57.1","2015 est.","3","Africa"
"Central African Republic","central-african-republic","56.2","2008 est.","4","Africa"
"Eswatini","eswatini","54.6","2016 est.","5","Africa"
"Colombia","colombia","54.2","2020 est.","6","South America"
"Mozambique","mozambique","54.0","2014 est.","7","Africa"
"Hong Kong","hong-kong","53.9","2016 est.","8","East and Southeast Asia"
"Botswana","botswana","53.3","2015 est.","9","Africa"
"Angola","angola","51.3","2018 est.","10","Africa"
"Saint Lucia","saint-lucia","51.2","2016 est.","11","Central America and the Caribbean"
"Panama","panama","49.8","2019 est.","12","Central America and the Caribbean"
"Costa Rica","costa-rica","49.3","2020 est.","13","Central America and the Caribbean"
"Brazil","brazil","48.9","2020 est.","14","South America"
"Congo, Republic of the","congo-republic-of-the","48.9","2011 est.","15","Africa"
"Guatemala","guatemala","48.3","2014 est.","16","Central America and the Caribbean"
"Honduras","honduras","48.2","2019 est.","17","Central America and the Caribbean"
"Burkina Faso","burkina-faso","47.3","2018 est.","18","Africa"
"Ecuador","ecuador","47.3","2020 est.","19","South America"
"Seychelles","seychelles","46.8","2013 est.","20","Africa"
"Cameroon","cameroon","46.6","2014 est.","21","Africa"
"Nicaragua","nicaragua","46.2","2014 est.","22","Central America and the Caribbean"
"South Sudan","south-sudan","46.0","2010 est.","23","Africa"
"Saudi Arabia","saudi-arabia","45.9","2013 est.","24","Middle East"
"Singapore","singapore","45.9","2017","25","East and Southeast Asia"
"Mexico","mexico","45.4","2020 est.","26","North America"
"Comoros","comoros","45.3","2014 est.","27","Africa"
"Chile","chile","44.9","2020 est.","28","South America"
"Lesotho","lesotho","44.9","2017 est.","29","Africa"
"Guyana","guyana","44.6","2007 est.","30","South America"
"Zimbabwe","zimbabwe","44.3","2017 est.","31","Africa"
"Peru","peru","43.8","2020 est.","32","South America"
"Rwanda","rwanda","43.7","2016 est.","33","Africa"
"Bolivia","bolivia","43.6","2020 est.","34","South America"
"Ghana","ghana","43.5","2016 est.","35","Africa"
"Paraguay","paraguay","43.5","2020 est.","36","South America"
"Togo","togo","43.1","2015 est.","37","Africa"
"Uganda","uganda","42.8","2016 est.","38","Africa"
"Madagascar","madagascar","42.6","2012 est.","39","Africa"
"Cabo Verde","cabo-verde","42.4","2015 est.","40","Africa"
"Argentina","argentina","42.3","2020 est.","41","South America"
"Philippines","philippines","42.3","2018 est.","42","East and Southeast Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","42.1","2012 est.","43","Africa"
"Papua New Guinea","papua-new-guinea","41.9","2009 est.","44","East and Southeast Asia"
"Turkey (Turkiye)","turkey-turkiye","41.9","2018 est.","45","Middle East"
"Djibouti","djibouti","41.6","2017 est.","46","Africa"
"Haiti","haiti","41.1","2012 est.","47","Central America and the Caribbean"
"Malaysia","malaysia","41.1","2015 est.","48","East and Southeast Asia"
"Qatar","qatar","41.1","2007 est.","49","Middle East"
"United States","united-states","41.1","2016 est.","50","North America"
"Iran","iran","40.9","2019 est.","51","Middle East"
"Kenya","kenya","40.8","2015 est.","52","Africa"
"Turkmenistan","turkmenistan","40.8","1998","53","Central Asia"
"Sao Tome and Principe","sao-tome-and-principe","40.7","2017 est.","54","Africa"
"Tanzania","tanzania","40.5","2017 est.","55","Africa"
"Bulgaria","bulgaria","40.3","2019 est.","56","Europe"
"Micronesia, Federated States of","micronesia-federated-states-of","40.1","2013 est.","57","Australia and Oceania"
"Sri Lanka","sri-lanka","39.8","2016 est.","58","South Asia"
"Uruguay","uruguay","39.7","2018 est.","59","South America"
"Dominican Republic","dominican-republic","39.6","2020 est.","60","Central America and the Caribbean"
"Morocco","morocco","39.5","2013 est.","61","Africa"
"Tuvalu","tuvalu","39.1","2010 est.","62","Australia and Oceania"
"Venezuela","venezuela","39.0","2011","63","South America"
"El Salvador","el-salvador","38.8","2019 est.","64","Central America and the Caribbean"
"Laos","laos","38.8","2018 est.","65","East and Southeast Asia"
"Samoa","samoa","38.7","2013 est.","66","Australia and Oceania"
"Burundi","burundi","38.6","2013 est.","67","Africa"
"Israel","israel","38.6","2018 est.","68","Middle East"
"Malawi","malawi","38.5","2019 est.","69","Africa"
"China","china","38.2","2019 est.","70","East and Southeast Asia"
"Senegal","senegal","38.1","2018 est.","71","Africa"
"Gabon","gabon","38.0","2017 est.","72","Africa"
"Cambodia","cambodia","37.9","2008 est.","73","East and Southeast Asia"
"Indonesia","indonesia","37.9","2021 est.","74","East and Southeast Asia"
"Benin","benin","37.8","2018 est.","75","Africa"
"Tonga","tonga","37.6","2015 est.","76","Australia and Oceania"
"Vanuatu","vanuatu","37.6","2010 est.","77","Australia and Oceania"
"Chad","chad","37.5","2018 est.","78","Africa"
"Bhutan","bhutan","37.4","2017 est.","79","South Asia"
"Niger","niger","37.3","2018 est.","80","Africa"
"Cote d'Ivoire","cote-divoire","37.2","2018 est.","81","Africa"
"Solomon Islands","solomon-islands","37.1","2013 est.","82","Australia and Oceania"
"Mauritius","mauritius","36.8","2017 est.","83","Africa"
"Montenegro","montenegro","36.8","2018 est.","84","Europe"
"Uzbekistan","uzbekistan","36.8","2003","85","Central Asia"
"Yemen","yemen","36.7","2014 est.","86","Middle East"
"Thailand","thailand","36.4","2018 est.","87","East and Southeast Asia"
"New Zealand","new-zealand","36.2","1997","88","Australia and Oceania"
"Serbia","serbia","36.2","2017 est.","89","Europe"
"Mali","mali","36.1","2018 est.","90","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","36.0","2015","91","South America"
"Russia","russia","36.0","2020 est.","92","Central Asia"
"Gambia, The","gambia-the","35.9","2015 est.","93","Africa"
"India","india","35.7","2019 est.","94","South Asia"
"Sierra Leone","sierra-leone","35.7","2018 est.","95","Africa"
"Vietnam","vietnam","35.7","2018 est.","96","East and Southeast Asia"
"Marshall Islands","marshall-islands","35.5","2019 est.","97","Australia and Oceania"
"Liberia","liberia","35.3","2016 est.","98","Africa"
"Lithuania","lithuania","35.3","2019 est.","99","Europe"
"Italy","italy","35.2","2018 est.","100","Europe"
"Nigeria","nigeria","35.1","2018 est.","101","Africa"
"Ethiopia","ethiopia","35.0","2015 est.","102","Africa"
"Jamaica","jamaica","35.0","2016 est.","103","Central America and the Caribbean"
"Macau","macau","35.0","2013 est.","104","East and Southeast Asia"
"Guinea-Bissau","guinea-bissau","34.8","2018 est.","105","Africa"
"Nauru","nauru","34.8","2012 est.","106","Australia and Oceania"
"Romania","romania","34.8","2019 est.","107","Europe"
"United Kingdom","united-kingdom","34.8","2016 est.","108","Europe"
"Spain","spain","34.7","2017 est.","109","Europe"
"Georgia","georgia","34.5","2020 est.","110","Middle East"
"Latvia","latvia","34.5","2019 est.","111","Europe"
"Australia","australia","34.3","2018 est.","112","Australia and Oceania"
"Luxembourg","luxembourg","34.2","2019 est.","113","Europe"
"Sudan","sudan","34.2","2014 est.","114","Africa"
"Tajikistan","tajikistan","34.0","2015 est.","115","Central Asia"
"Greenland","greenland","33.9","2015 est.","116","North America"
"Azerbaijan","azerbaijan","33.7","2008","117","Middle East"
"Gaza Strip","gaza-strip","33.7","2016 est.","118","Middle East"
"Jordan","jordan","33.7","2010 est.","119","Middle East"
"West Bank","west-bank","33.7","2016 est.","120","Middle East"
"Taiwan","taiwan","33.6","2014","121","East and Southeast Asia"
"Canada","canada","33.3","2017 est.","122","North America"
"Greece","greece","33.1","2019 est.","123","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","33.0","2011 est.","124","Europe"
"North Macedonia","north-macedonia","33.0","2018 est.","125","Europe"
"Japan","japan","32.9","2013 est.","126","East and Southeast Asia"
"Nepal","nepal","32.8","2010 est.","127","South Asia"
"Portugal","portugal","32.8","2019 est.","128","Europe"
"Tunisia","tunisia","32.8","2015 est.","129","Africa"
"Mongolia","mongolia","32.7","2018 est.","130","East and Southeast Asia"
"Switzerland","switzerland","32.7","2017 est.","131","Europe"
