0,1,2
,RUS,"17,098,242"
,ATA,"14,200,000"
,CAN,"9,984,670"
,USA,"9,833,517"
,CHN,"9,596,960"
,BRA,"8,515,770"
,AUS,"7,741,220"
,IND,"3,287,263"
,ARG,"2,780,400"
,KAZ,"2,724,900"
,DZA,"2,381,740"
,COD,"2,344,858"
,GRL,"2,166,086"
,SAU,"2,149,690"
,MEX,"1,964,375"
,IDN,"1,904,569"
,SDN,"1,861,484"
,LBY,"1,759,540"
,IRN,"1,648,195"
,MNG,"1,564,116"
,PER,"1,285,216"
,TCD,"1,284,000"
,NER,"1,267,000"
,AGO,"1,246,700"
,MLI,"1,240,192"
,ZAF,"1,219,090"
,COL,"1,138,910"
,ETH,"1,104,300"
,BOL,"1,098,581"
,MRT,"1,030,700"
,EGY,"1,001,450"
,TZA,"947,300"
,NGA,"923,768"
,VEN,"912,050"
,NAM,"824,292"
,MOZ,"799,380"
,PAK,"796,095"
,TUR,"783,562"
,CHL,"756,102"
,ZMB,"752,618"
,MAR,"716,550"
,MMR,"676,578"
,AFG,"652,230"
,SSD,"644,329"
,FRA,"643,801"
,SOM,"637,657"
,CAF,"622,984"
,UKR,"603,550"
,MDG,"587,041"
,BWA,"581,730"
,KEN,"580,367"
,YEM,"527,968"
,THA,"513,120"
,ESP,"505,370"
,TKM,"488,100"
,CMR,"475,440"
,PNG,"462,840"
,SWE,"450,295"
,UZB,"447,400"
,IRQ,"438,317"
,PRY,"406,752"
,ZWE,"390,757"
,JPN,"377,915"
,DEU,"357,022"
,COG,"342,000"
,FIN,"338,145"
,VNM,"331,210"
,MYS,"329,847"
,NOR,"323,802"
,CIV,"322,463"
,POL,"312,685"
,OMN,"309,500"
,ITA,"301,340"
,PHL,"300,000"
,ECU,"283,561"
,BFA,"274,200"
,NZL,"268,838"
,GAB,"267,667"
,GIN,"245,857"
,GBR,"243,610"
,UGA,"241,038"
,GHA,"238,533"
,ROU,"238,391"
,LAO,"236,800"
,GUY,"214,969"
,BLR,"207,600"
,KGZ,"199,951"
,SEN,"196,722"
,SYR,"187,437"
,KHM,"181,035"
,URY,"176,215"
,SUR,"163,820"
,TUN,"163,610"
,BGD,"148,460"
,NPL,"147,181"
,TJK,"144,100"
,GRC,"131,957"
,NIC,"130,370"
,PRK,"120,538"
,MWI,"118,484"
,ERI,"117,600"
,BEN,"112,622"
,HND,"112,090"
,LBR,"111,369"
,BGR,"110,879"
,CUB,"110,860"
,GTM,"108,889"
,ISL,"103,000"
,KOR,"99,720"
,HUN,"93,028"
,PRT,"92,090"
,JOR,"89,342"
,AZE,"86,600"
,AUT,"83,871"
,ARE,"83,600"
,CZE,"78,867"
,SRB,"77,474"
,PAN,"75,420"
,SLE,"71,740"
,IRL,"70,273"
,GEO,"69,700"
,LKA,"65,610"
,LTU,"65,300"
,LVA,"64,589"
,SJM,"62,045"
,TGO,"56,785"
,HRV,"56,594"
,BIH,"51,197"
,CRI,"51,100"
,SVK,"49,035"
,DOM,"48,670"
,EST,"45,228"
,DNK,"43,094"
,NLD,"41,543"
,CHE,"41,277"
,BTN,"38,394"
,GNB,"36,125"
,TWN,"35,980"
,MDA,"33,851"
,BEL,"30,528"
,LSO,"30,355"
,ARM,"29,743"
,SLB,"28,896"
,ALB,"28,748"
,GNQ,"28,051"
,BDI,"27,830"
,HTI,"27,750"
,RWA,"26,338"
,MKD,"25,713"
,DJI,"23,200"
,BLZ,"22,966"
,ISR,"21,937"
,SLV,"21,041"
,SVN,"20,273"
,NCL,"18,575"
,FJI,"18,274"
,KWT,"17,818"
,SWZ,"17,364"
,TLS,"14,874"
,BHS,"13,880"
,MNE,"13,812"
,VUT,"12,189"
,FLK,"12,173"
,QAT,"11,586"
,GMB,"11,300"
,JAM,"10,991"
,LBN,"10,400"
,CYP,"9,251"
,PRI,"9,104"
,BRN,"5,765"
,TTO,"5,128"
,PYF,"4,167"
,CPV,"4,033"
,SGS,"3,903"
,WSM,"2,831"
,LUX,"2,586"
,COM,"2,235"
,MUS,"2,040"
,VIR,"1,910"
,FRO,"1,393"
,HKG,"1,108"
,STP,964
,TCA,948
,KIR,811
,BHR,760
,DMA,751
,TON,747
,SGP,719
,FSM,702
,LCA,616
,IMN,572
,GUM,544
,AND,468
,MNP,464
,PLW,459
,SYC,455
,CUW,444
,ATG,443
,BRB,430
,HMD,412
,SHN,394
,VCT,389
,GRD,344
,MLT,316
,MDV,298
,CYM,264
,KNA,261
,NIU,260
,SPM,242
,COK,236
,ASM,224
,MHL,181
,ABW,180
,LIE,160
,VGB,151
,WLF,142
,CXR,135
,JEY,116
,MSR,102
,AIA,91
,GGY,78
,SMR,61
,IOT,60
,BMU,54
,MAF,50
,BVT,49
,PCN,47
,NFK,36
,SXM,34
,MAC,28
,TUV,26
,BLM,25
,NRU,21
,CCK,14
,TKL,12
,GIB,7
,MCO,2
,VAT,0
