0,1,2
2014,ZAF,63.0
2015,NAM,59.1
2015,ZMB,57.1
2008,CAF,56.2
2016,SWZ,54.6
2020,COL,54.2
2014,MOZ,54.0
2016,HKG,53.9
2015,BWA,53.3
2018,AGO,51.3
2016,LCA,51.2
2019,PAN,49.8
2020,CRI,49.3
2020,BRA,48.9
2011,COG,48.9
2014,GTM,48.3
2019,HND,48.2
2018,BFA,47.3
2020,ECU,47.3
2013,SYC,46.8
2014,CMR,46.6
2014,NIC,46.2
2010,SSD,46.0
2013,SAU,45.9
2017,SGP,45.9
2020,MEX,45.4
2014,COM,45.3
2020,CHL,44.9
2017,LSO,44.9
2007,GUY,44.6
2017,ZWE,44.3
2020,PER,43.8
2016,RWA,43.7
2020,BOL,43.6
2016,GHA,43.5
2020,PRY,43.5
2015,TGO,43.1
2016,UGA,42.8
2012,MDG,42.6
2015,CPV,42.4
2020,ARG,42.3
2018,PHL,42.3
2012,COD,42.1
2009,PNG,41.9
2018,TUR,41.9
2017,DJI,41.6
2012,HTI,41.1
2015,MYS,41.1
2007,QAT,41.1
2016,USA,41.1
2019,IRN,40.9
2015,KEN,40.8
1998,TKM,40.8
2017,STP,40.7
2017,TZA,40.5
2019,BGR,40.3
2013,FSM,40.1
2016,LKA,39.8
2018,URY,39.7
2020,DOM,39.6
2013,MAR,39.5
2010,TUV,39.1
2011,VEN,39.0
2019,SLV,38.8
2018,LAO,38.8
2013,WSM,38.7
2013,BDI,38.6
2018,ISR,38.6
2019,MWI,38.5
2019,CHN,38.2
2018,SEN,38.1
2017,GAB,38.0
2008,KHM,37.9
2021,IDN,37.9
2018,BEN,37.8
2015,TON,37.6
2010,VUT,37.6
2018,TCD,37.5
2017,BTN,37.4
2018,NER,37.3
2018,CIV,37.2
2013,SLB,37.1
2017,MUS,36.8
2018,MNE,36.8
2003,UZB,36.8
2014,YEM,36.7
2018,THA,36.4
1997,NZL,36.2
2017,SRB,36.2
2018,MLI,36.1
2015,FLK,36.0
2020,RUS,36.0
2015,GMB,35.9
2019,IND,35.7
2018,SLE,35.7
2018,VNM,35.7
2019,MHL,35.5
2016,LBR,35.3
2019,LTU,35.3
2018,ITA,35.2
2018,NGA,35.1
2015,ETH,35.0
2016,JAM,35.0
2013,MAC,35.0
2018,GNB,34.8
2012,NRU,34.8
2019,ROU,34.8
2016,GBR,34.8
2017,ESP,34.7
2020,GEO,34.5
2019,LVA,34.5
2018,AUS,34.3
2019,LUX,34.2
2014,SDN,34.2
2015,TJK,34.0
2015,GRL,33.9
2008,AZE,33.7
2010,JOR,33.7
2014,TWN,33.6
2017,CAN,33.3
2019,GRC,33.1
2011,BIH,33.0
2018,MKD,33.0
2013,JPN,32.9
2010,NPL,32.8
2019,PRT,32.8
2015,TUN,32.8
2018,MNG,32.7
2017,CHE,32.7
2014,MRT,32.6
2014,ARE,32.5
2016,BGD,32.4
2018,FRA,32.4
2011,LBN,31.8
2018,DEU,31.7
2017,EGY,31.5
2016,KOR,31.4
2019,CYP,31.2
2019,MLT,31.0
2019,ALB,30.8
2019,EST,30.8
2017,MMR,30.7
2019,FJI,30.7
2018,IRL,30.6
2019,AUT,30.2
2018,POL,30.2
2019,HUN,30.0
2018,GIN,29.6
2018,PAK,29.6
2012,IRQ,29.5
2008,AFG,29.4
2019,MDV,29.3
2019,NLD,29.2
2020,KGZ,29.0
2019,HRV,28.9
2017,SWE,28.8
2014,TLS,28.7
2018,KAZ,27.8
2019,KIR,27.8
2019,DNK,27.7
2019,FIN,27.7
2019,NOR,27.7
2011,DZA,27.6
2019,BEL,27.2
2017,ISL,26.1
2018,UKR,26.1
2019,MDA,26.0
2019,CZE,25.3
2020,ARM,25.2
2016,SVK,25.2
2020,BLR,24.4
2017,SVN,24.2
2013,FRO,22.7
2014,JEY,0.3
