0,1,2
2022,CHN,"1,410,539,758"
2022,IND,"1,389,637,446"
2022,USA,"337,341,954"
2022,IDN,"277,329,163"
2022,PAK,"242,923,845"
2022,NGA,"225,082,083"
2022,BRA,"217,240,060"
2022,BGD,"165,650,475"
2022,RUS,"142,021,981"
2022,MEX,"129,150,971"
2022,JPN,"124,214,766"
2022,PHL,"114,597,229"
2022,ETH,"113,656,596"
2022,COD,"108,407,721"
2022,EGY,"107,770,524"
2022,VNM,"103,808,319"
2022,IRN,"86,758,304"
2022,DEU,"84,316,622"
2022,TUR,"83,047,706"
2022,THA,"69,648,117"
2022,FRA,"68,305,148"
2022,GBR,"67,791,400"
2022,TZA,"63,852,892"
2022,ITA,"61,095,551"
2022,MMR,"57,526,449"
2022,ZAF,"57,516,665"
2022,KEN,"55,864,655"
2022,KOR,"51,844,834"
2022,COL,"49,059,221"
2022,SDN,"47,958,856"
2022,ESP,"47,163,418"
2022,ARG,"46,245,668"
2022,UGA,"46,205,893"
2022,DZA,"44,178,884"
2022,UKR,"43,528,136"
2022,IRQ,"40,462,701"
2022,AFG,"38,346,720"
2022,CAN,"38,232,593"
2022,POL,"38,093,101"
2022,MAR,"36,738,229"
2022,SAU,"35,354,380"
2022,AGO,"34,795,287"
2022,MYS,"33,871,431"
2022,GHA,"33,107,275"
2022,PER,"32,275,736"
2022,MOZ,"31,693,239"
2022,UZB,"31,104,937"
2022,YEM,"30,984,689"
2022,NPL,"30,666,598"
2022,VEN,"29,789,730"
2022,CMR,"29,321,637"
2022,CIV,"28,713,423"
2022,MDG,"28,172,462"
2022,AUS,"26,141,369"
2022,PRK,"25,955,138"
2022,NER,"24,484,587"
2022,TWN,"23,580,712"
2022,LKA,"23,187,516"
2022,BFA,"21,935,389"
2022,SYR,"21,563,800"
2022,MWI,"20,794,353"
2022,MLI,"20,741,769"
2022,ZMB,"19,642,123"
2022,KAZ,"19,398,331"
2022,ROU,"18,519,899"
2022,CHL,"18,430,408"
2022,TCD,"17,963,211"
2022,SEN,"17,923,036"
2022,GTM,"17,703,190"
2022,NLD,"17,400,824"
2022,ECU,"17,289,554"
2022,KHM,"16,713,015"
2022,ZWE,"15,121,004"
2022,BEN,"13,754,688"
2022,GIN,"13,237,832"
2022,RWA,"13,173,730"
2022,BDI,"12,696,478"
2022,SOM,"12,386,248"
2022,BOL,"12,054,379"
2022,TUN,"11,896,972"
2022,BEL,"11,847,338"
2022,SSD,"11,544,905"
2022,HTI,"11,334,637"
2022,CUB,"11,008,112"
2022,JOR,"10,998,531"
2022,CZE,"10,705,384"
2022,DOM,"10,694,700"
2022,GRC,"10,533,871"
2022,SWE,"10,483,647"
2022,AZE,"10,353,296"
2022,PRT,"10,242,081"
2022,ARE,"9,915,803"
2022,HUN,"9,699,577"
2022,PNG,"9,593,498"
2022,HND,"9,459,440"
2022,BLR,"9,413,505"
2022,TJK,"9,119,347"
2022,ISR,"8,914,885"
2022,AUT,"8,913,088"
2022,SLE,"8,692,606"
2022,CHE,"8,508,698"
2022,TGO,"8,492,333"
2022,LAO,"7,749,595"
2022,PRY,"7,356,409"
2022,HKG,"7,276,588"
2022,LBY,"7,137,931"
2022,BGR,"6,873,253"
2022,SRB,"6,739,471"
2022,SLV,"6,568,745"
2022,NIC,"6,301,880"
2022,ERI,"6,209,262"
2022,KGZ,"6,071,750"
2022,SGP,"5,921,231"
2022,DNK,"5,920,767"
2022,TKM,"5,636,011"
2022,FIN,"5,601,547"
2022,NOR,"5,553,840"
2022,COG,"5,546,307"
2022,CAF,"5,454,533"
2022,SVK,"5,431,252"
2022,LBR,"5,358,483"
