0,1,2
2021,CHN,"$24,861,000,000,000"
2021,USA,"$21,132,000,000,000"
2021,IND,"$9,279,000,000,000"
2021,JPN,"$5,126,000,000,000"
2021,DEU,"$4,424,000,000,000"
2021,RUS,"$4,078,000,000,000"
2021,IDN,"$3,246,000,000,000"
2021,BRA,"$3,128,000,000,000"
2021,FRA,"$3,048,000,000,000"
2021,GBR,"$3,028,000,000,000"
2021,TUR,"$2,668,000,000,000"
2021,ITA,"$2,478,000,000,000"
2021,MEX,"$2,418,000,000,000"
2021,KOR,"$2,289,000,000,000"
2021,CAN,"$1,832,000,000,000"
2021,ESP,"$1,798,000,000,000"
2021,SAU,"$1,594,000,000,000"
2021,IRN,"$1,319,000,000,000"
2021,POL,"$1,318,000,000,000"
2021,AUS,"$1,279,000,000,000"
2021,EGY,"$1,264,000,000,000"
2021,THA,"$1,223,000,000,000"
2021,PAK,"$1,211,000,000,000"
2019,TWN,"$1,143,277,000,000"
2021,NGA,"$1,050,000,000,000"
2021,VNM,"$1,036,000,000,000"
2021,BGD,"$1,001,000,000,000"
2021,NLD,"$992,675,000,000"
2021,ARG,"$986,134,000,000"
2021,PHL,"$921,826,000,000"
2021,MYS,"$884,106,000,000"
2021,ZAF,"$790,625,000,000"
2021,COL,"$754,645,000,000"
2021,ARE,"$653,067,000,000"
2021,CHE,"$618,228,000,000"
2021,BEL,"$599,814,000,000"
2021,ROU,"$588,451,000,000"
2021,SGP,"$578,254,000,000"
2021,SWE,"$558,427,000,000"
2021,UKR,"$535,579,000,000"
2021,IRL,"$515,880,000,000"
2021,KAZ,"$496,126,000,000"
2021,CHL,"$496,085,000,000"
2021,DZA,"$487,716,000,000"
2021,AUT,"$484,698,000,000"
2021,HKG,"$444,624,000,000"
2021,CZE,"$428,016,000,000"
2021,PER,"$421,937,000,000"
2021,ISR,"$393,861,000,000"
2021,IRQ,"$390,165,000,000"
2021,NOR,"$355,122,000,000"
2021,PRT,"$347,694,000,000"
2021,DNK,"$339,472,000,000"
2021,HUN,"$326,186,000,000"
2021,GRC,"$314,427,000,000"
2021,MAR,"$303,336,000,000"
2021,LKA,"$296,595,000,000"
2021,ETH,"$278,945,000,000"
2021,FIN,"$270,143,000,000"
2021,UZB,"$270,062,000,000"
2018,VEN,"$269,068,000,000"
2021,KEN,"$251,431,000,000"
2021,QAT,"$249,636,000,000"
2021,NZL,"$219,839,000,000"
2021,MMR,"$216,948,000,000"
2021,DOM,"$207,082,000,000"
2021,AGO,"$203,868,000,000"
2020,KWT,"$191,522,000,000"
2021,ECU,"$189,880,000,000"
2021,BLR,"$184,482,000,000"
2021,GHA,"$178,455,000,000"
2021,SVK,"$173,582,000,000"
2021,SDN,"$168,980,000,000"
2021,BGR,"$167,804,000,000"
2021,TZA,"$159,326,000,000"
2021,OMN,"$155,028,000,000"
2021,GTM,"$152,734,000,000"
2021,LBY,"$147,942,000,000"
2021,CIV,"$146,323,000,000"
2021,AZE,"$146,305,000,000"
2017,CUB,"$137,000,000,000"
2021,SRB,"$135,534,000,000"
2021,TUN,"$127,509,000,000"
2021,PAN,"$126,352,000,000"
2021,HRV,"$123,348,000,000"
2021,NPL,"$115,093,000,000"
2021,LTU,"$110,089,000,000"
2021,CRI,"$109,260,000,000"
2021,PRI,"$106,500,000,000"
2021,UGA,"$103,007,000,000"
2021,COD,"$102,956,000,000"
2021,JOR,"$102,822,000,000"
2021,CMR,"$100,648,000,000"
2021,BOL,"$97,266,000,000"
2019,TKM,"$92,331,000,000"
2021,PRY,"$91,759,000,000"
2021,SVN,"$84,400,000,000"
2021,URY,"$78,121,000,000"
2021,LUX,"$74,045,000,000"
2017,YEM,"$73,630,000,000"
